,P0A,P0B,P0C,P1A,P1B,P1C,P2A,P2B,P2C,P4A,P4B,P4C,P6A,P6B,P6C,P8A,P8B,P8C,B0A,B0B,B0C,B1A,B1B,B1C,B2A,B2B,B2C,B4A,B4B,B4C,B6A,B6B,B6C,B8A,B8B,B8C,L0A,L0B,L0C,L1A,L1B,L1C,L2A,L2B,L2C,L4A,L4B,L4C,L6A,L6B,L6C,L8A,L8B,L8C
aKG_0,72961.63515,45342.58134,74500.91574,29044.12544,57224.65986,61587.1197,24041.15594,23065.29963,30649.44035,9023.296983,19392.67928,9241.108629,29952.83895,37450.83268,24490.27094,38756.92162,34660.86027,30433.39587,54428.2832,60636.28428,59660.60387,28632.45632,54530.72858,56033.91703,7675.486794,30518.77423,31422.89822,19323.82101,21585.89426,18999.43365,29637.54795,21120.00389,29795.94042,32068.33538,31010.78295,27453.90539,52183.8444,145485.3087,152909.6773,84017.62257,52585.82028,47004.95068,50727.32314,41861.85393,76191.01971,34077.16396,47319.61857,55106.758,60599.3492,50571.60122,56940.177,39457.57198,59070.76456,28907.88479
aKG_1,0,1445.510142,71.50343561,1620.069704,0,1088.728176,1916.019009,758.3601276,0,534.200686,767.1275799,250.6765081,1866.987504,970.4617816,1216.408493,4341.975052,2021.848471,1963.068761,616.4478054,0,217.8405856,0,1220.772273,0,525.4617085,1386.568205,1891.099557,1996.795044,1178.681654,1215.231516,935.1153131,1061.586557,1584.634035,845.6082846,2061.873569,1496.896421,1495.257447,0,928.9619361,1932.941738,2404.391327,2675.232633,392.4507277,675.1981231,1413.963914,1979.401583,5856.316123,0,3969.111816,1583.563162,1788.920836,2487.6992,2342.983611,388.9638323
aKG_2,5991.587017,3325.119014,3243.733804,5900.737571,10157.77634,13025.58819,17272.97636,5358.898703,4035.712914,4173.229755,7731.128016,3039.309906,9454.971818,17427.83892,8264.941376,15372.80501,11477.86781,12821.83436,4716.989278,6547.190549,4927.675222,6608.162741,7749.472706,8395.848935,1304.926433,3981.770207,6040.302101,3257.40332,3152.884155,1191.832563,22386.4536,4495.849784,11584.43426,8710.776369,6705.057722,4863.993826,2569.044952,5567.1473,5977.366957,10763.93791,5379.577445,0,2183.142295,3430.173379,6233.074724,7275.779079,9911.195195,6988.78366,18350.51441,17487.74789,20248.22757,15325.3167,16741.11683,14319.68012
aKG_3,636.1377133,606.4694402,1791.590356,3302.081087,1834.457866,149.3098627,2782.394811,2824.511341,1152.022344,1665.098133,2685.465906,709.1210051,4971.241009,4280.786345,4467.059975,7339.774495,6946.897298,4315.835702,769.5166078,0,0,1084.399971,2131.80903,870.3702806,95.47525715,1466.945142,2422.54132,2880.727738,1010.713448,6809.954765,2104.978605,2645.012009,4813.209257,2165.828176,2406.79576,3874.891047,514.3406016,0,2508.605731,3316.959146,3438.133312,2693.480894,1561.285456,605.7082029,3132.775821,3157.763325,1959.352342,3843.093396,7260.106446,6178.607199,7044.403416,5485.81451,5751.039611,2338.100887
aKG_4,1602.007194,264.0632267,817.9109628,860.8492614,0,2781.59526,4160.520259,1048.671042,2461.803762,2371.506284,3680.348363,2165.13594,8286.399283,9811.302861,4659.8674,6175.447903,6977.504182,2871.833652,2935.177216,1528.790455,130.3825645,1010.654642,1081.488704,312.8100219,273.7156682,1116.073873,814.0812967,1778.633254,1709.119904,601.6570481,4774.766175,2216.539012,626.3598219,1680.797298,3373.926562,3471.532417,0,2940.162284,956.6467292,1306.684941,0,513.2073151,1503.115896,1863.480013,861.3318387,3482.695228,2820.842968,3797.639,10948.66199,8690.602763,8345.954673,10390.24707,13606.90727,5321.535966
aKG_5,1183.248257,739.9126992,227.4723675,348.2245493,1048.477378,3126.43404,2365.217862,1737.722867,0,18807.4308,3669.70129,1220.557492,44604.47155,7087.376953,3906.299759,7012.54396,6175.403913,52201.00701,457.6042238,1734.793797,1218.4637,1339.856105,2442.815123,1531.676434,386.96004,1043.011429,1790.995377,2721.230974,1012.666844,1087.181936,54803.74257,2995.93319,2617.480352,2582.851607,2711.720126,3472.452987,537.8136735,1065.648619,1699.762616,2489.689086,1180.229336,1767.930713,1180.739705,2234.692145,2272.999107,2460.204331,3870.035741,3012.470279,9708.324494,7815.093689,9095.022223,8005.34367,11633.173,5574.489144
Aspartate_0,243353.2451,156878.3523,251834.1984,125137.2907,177328.1861,218608.9042,176086.6368,139196.1635,177862.9911,62419.20189,87402.77401,51089.15839,123364.6714,140030.3757,117530.1114,144253.7321,124049.1388,126093.712,292514.7732,323966.7214,317421.1417,183503.0281,266013.6476,278681.0441,96500.7048,244286.5061,241982.9979,136471.8847,145061.6133,134906.9421,202957.2405,139535.3505,195343.3271,204613.7055,209593.6755,183280.973,93099.15001,244493.891,246832.5951,132962.1957,57392.52382,64314.3918,96902.07249,89576.92132,112124.2641,74618.16637,110975.6497,89047.23275,88165.37901,76806.5502,90083.21487,67009.38502,94883.43014,51487.14627
Aspartate_1,240.1034858,1507.377128,7550.241651,1033.474043,2287.414562,3412.153819,5880.750432,2292.312575,8081.189351,4782.369709,7200.452137,4652.237423,9390.781148,7910.004643,10301.99411,10327.3542,9236.486396,6106.118456,5541.410011,3421.075218,1032.800506,3407.783444,2630.896694,6823.742615,1713.70554,9693.481377,8026.474134,8137.848726,6100.223893,8526.396059,7622.158305,7211.031463,13806.70542,7255.999258,12598.03255,3280.816128,2721.446469,2764.380611,4785.820944,3352.816133,1311.382536,2585.398095,3606.352834,2339.331316,4188.543644,4714.418313,4290.484702,5513.496882,3449.102448,3541.485621,5415.597338,4487.694018,7144.798301,2336.546469
Aspartate_2,0,0,832.1212594,8941.141077,11746.59301,19889.70555,33329.60257,27932.17593,29324.4034,22859.28769,32511.91371,17115.21639,44421.73203,53281.67263,40404.47821,51413.36739,47903.33471,50930.95153,0,0,5831.025464,14596.40184,15982.81689,18291.55122,13857.62058,31941.09986,35971.64746,32910.92788,37146.21878,34363.10584,53146.80437,36216.99863,51202.08476,51616.99748,52719.38875,49094.0477,0,654.5849617,80.74954945,5292.729981,1282.343684,4013.121622,8417.203766,7796.542554,9837.616257,18610.21649,20266.32464,18773.19008,25969.5766,22473.89203,26324.15203,21277.92478,28279.76585,14416.55572
Aspartate_3,552.2994717,166.7076596,925.9882277,26455.33777,36797.24115,46353.1039,74268.26046,56052.67544,69831.40938,43926.68049,55395.33532,30511.30955,85628.63076,93114.20198,80140.32002,93287.47125,81151.9432,84482.57167,420.6388762,0,0,27840.39731,37621.15449,39566.75734,23402.94251,66214.56346,62508.06429,62109.18985,56778.05403,52290.39827,86882.10386,57692.22394,90455.56436,92190.77101,91384.34219,81886.52469,0,997.7838484,3557.372031,38941.24147,14189.27013,18090.96443,52877.97866,47881.13106,59388.37053,43153.75124,62138.11223,52667.1203,67388.4123,57139.89337,69595.8854,52943.9244,76680.46111,36492.33902
