,Liv_0A,Lung_0A,Parental_0A,Liv_2A,Lung_2A,Parental_2A,Liv_4A,Lung_4A,Parental_4A,Liv_6A,Lung_6A,Parental_6A,Liv_8A,Lung_8A,Parental_8A,Liv_0B,Lung_0B,Parental_0B,Liv_2B,Lung_2B,Parental_2B,Liv_4B,Lung_4B,Parental_4B,Liv_6B,Lung_6B,Parental_6B,Liv_8B,Lung_8B,Parental_8B,Liv_0C,Lung_0C,Parental_0C,Liv_2C,Lung_2C,Parental_2C,Liv_4C,Lung_4C,Parental_4C,Liv_6C,Lung_6C,Parental_6C,Liv_8C,Lung_8C,Parental_8C
Pyruvate_0,564287.9264,474376.5627,280500.756,132067.342,237647.3583,161255.3673,80264.16903,151248.9658,137476.4902,163380.1742,67056.84497,70013.02226,210091.8498,84841.47243,255402.6829,615921.5141,1533238.451,256953.9698,166598.6961,79141.55961,115338.232,163884.1062,65010.80192,152345.7009,83203.52387,134594.1308,133752.692,144281.2681,82514.85711,111809.0364,628459.0312,1324822.029,714344.0925,165005.103,252071.6027,148466.9189,61225.6635,167813.7237,63657.29581,82402.05631,78846.67175,126937.6072,134293.88,370710.0812,160545.7107
Pyruvate_1,0,286.793819,0,0,1928.140671,0,0,548.7511937,2154.796636,2178.936983,0,0,0,1613.700858,2581.303674,0,0,0,0,0,0,462.709694,0,0,0,291.5621534,0,2309.392563,0,1170.017768,0,0,0,1152.160369,0,519.6703518,0,0,0,0,0,0,967.2863436,0,2321.9392
Pyruvate_2,0,0,0,0,0,0,0,0,0,0,0,3644.979807,0,0,0,0,0,8187.62214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.97755,0,0,0,0,0,0,0,0,0,0,0,0
Pyruvate_3,0,507.5083596,328.8883624,291817.2752,849934.9057,335741.6342,172891.7575,804640.8293,504391.4186,584055.4497,359289.6275,225193.729,848037.0175,559881.0033,1041227.272,7321.069304,2763.297563,1470.841386,369071.6132,250525.1042,258492.7332,399717.9416,289210.159,458433.1731,224734.9313,935549.7512,508753.3268,604485.6348,545950.5701,519727.9059,3789.490924,811.1516423,171.4260786,315210.6522,803491.4315,344661.7766,135236.0397,903165.3252,174844.6655,243894.3245,460294.7621,500189.2009,551732.8934,1949728.142,809571.0415
Lactate_0,1930927.532,1659742.702,902331.4948,390848.5341,946639.5816,623466.943,208372.7246,558958.781,527805.0147,439591.9944,243810.0829,202303.6511,591336.1239,377949.6517,782733.1699,2124936.387,6559519.989,902558.4348,489106.1413,275705.6401,528955.5461,366454.9629,208935.6688,540680.6937,150226.0627,562197.4463,473192.5367,455931.3604,324047.1783,374482.3018,1970757.812,5971046.01,3132510.265,483066.2094,1005415.108,593069.0269,245152.9265,669012.4017,154165.3886,206076.1074,281166.8148,523586.3345,462641.6983,1176607.073,595959.5006
Lactate_1,0,1715.378825,0,16944.27019,63628.41402,26682.39088,6264.526755,56357.45685,26035.54179,24139.6985,24728.06971,13668.85199,40975.80807,32283.87237,59632.60017,0,2028.208305,0,19448.47341,16046.26638,25570.5681,15221.87612,12048.38544,24867.90608,7706.49262,56300.69516,31622.54574,32946.72582,28701.4296,22628.95881,323.7174883,3072.508836,0,18587.54615,55247.67423,20536.39117,3969.852388,61507.42287,9199.427662,9157.867225,25785.7816,39081.83109,23311.1909,116994.628,44041.14321
Lactate_2,6457.41585,6896.186228,2546.319207,9117.450671,9749.524949,10353.97743,7336.897481,14842.11631,8006.348385,5019.085532,6868.825193,8417.437022,9218.677852,8457.430851,9463.730165,246.4168992,14564.64516,896.0384599,8717.754079,6542.460149,0,7631.071552,6368.69625,9001.980993,4259.063074,14628.7858,3341.937712,5333.416047,10194.8724,2305.440584,0,5814.732937,4084.247468,2831.53755,10482.90122,4409.07751,6428.839031,18021.05016,7920.03803,3126.400543,11561.82075,4436.768654,6178.940029,37906.46426,12226.05088
Lactate_3,2521.224063,345.3875476,532.378018,865910.2675,3380069.1,1257221.061,263401.4603,2871406.741,1568161.768,1225504.342,1241007.463,584756.6618,2342321.7,1779843.099,3198752.678,3475.756863,0,2046.260202,1035177.872,725734.9064,1135915.344,794505.6846,683416.2258,1488672.332,384392.1789,3353295.587,1590252.693,1376115.806,1547336.748,1235621.606,1580.275975,3196.662634,2919.151158,864074.3286,3103040.754,1283844.601,208311.0317,3320099.559,374721.0755,368108.3413,1515751.285,1844392.748,1444576.603,6445193.457,2454332.048
Glutamate_0,365588.6546,289726.9241,202288.8513,509873.183,1693227.009,1187866.016,87817.84855,1226462.102,932497.7572,331009.5439,326555.7828,201610.8141,374568.2952,205733.7984,770820.3544,459037.0099,1669706.025,254031.6517,615544.111,315360.381,968233.1443,273801.975,224058.2889,891739.7644,87514.32792,1075590.939,687253.0645,207557.9961,218988.0554,155134.9643,436455.7549,1480107.446,1009805.502,561513.3623,1677071.733,1223123.552,80538.29488,1375795.199,203553.7454,65533.72221,379076.7521,703410.0902,220297.3665,1309811.122,634447.392
Glutamate_1,0,0,0,9289.556273,3139.790792,0,632.2105241,8729.971333,4761.236336,1131.652196,0,0,2410.883957,3358.954751,13151.80132,0,2682.264673,0,7892.200077,675.9933736,4512.569943,0,0,1849.805404,947.2493508,1019.445163,7329.511437,5664.595055,0,2168.028118,2939.01947,4079.325446,10367.70983,0,0,17581.14594,1296.031657,0,5863.834754,1518.562533,496.5209606,8037.994433,5762.054968,4493.878984,11690.14057
