Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SOCS1		11	9	856	1.1%	Yes
ZNF708		10	10	856	1.2%	No
KMT2A		45	42	856	4.9%	Yes
SMARCA4		39	35	856	4.1%	Yes
SMARCB1		5	5	856	0.6%	Yes
MCL1		12	12	856	1.4%	Yes
ATM		63	58	856	6.8%	Yes
MLH1		23	20	856	2.3%	Yes
INSIG1		4	4	685	0.6%	No
CCND1		4	4	856	0.5%	Yes
BCL2		2	2	856	0.2%	Yes
FAS		3	3	856	0.4%	Yes
MYC		13	13	856	1.5%	Yes
BCL2L1		1	1	856	0.1%	Yes
RHPN2		12	12	856	1.4%	No
FLCN		11	11	856	1.3%	Yes
ALK		28	28	856	3.3%	Yes
BCL2L12		11	11	856	1.3%	No
MYB		15	15	856	1.8%	Yes
KCNIP1		3	3	685	0.4%	No
MYBL1		15	12	856	1.4%	No
RBL2		15	14	856	1.6%	No
PMS2		15	15	856	1.8%	Yes
PDGFRA		16	15	856	1.8%	Yes
ALOX12B		17	17	856	2.0%	Yes
AR		21	19	856	2.2%	Yes
CARD11		13	13	856	1.5%	Yes
ARAF		7	7	856	0.8%	Yes
NOTCH1		47	44	856	5.1%	Yes
MYCL		6	6	856	0.7%	Yes
NOTCH2		40	39	856	4.6%	Yes
INSRR		1	1	856	0.1%	No
MYCN		6	6	856	0.7%	Yes
MYD88		3	3	856	0.4%	Yes
MDM4		12	12	856	1.4%	Yes
ABL1		16	15	856	1.8%	Yes
PIK3C2B		42	40	856	4.7%	Yes
BAP1		12	12	856	1.4%	Yes
RECQL4		52	52	685	7.6%	Yes
MDM2		7	7	856	0.8%	Yes
IDH1		7	7	856	0.8%	Yes
HNF1A		21	20	856	2.3%	Yes
PSMD13		9	9	856	1.1%	No
TCF3		24	22	856	2.6%	Yes
FLT4		29	28	856	3.3%	Yes
CD274		7	7	856	0.8%	Yes
FLT3		12	12	856	1.4%	Yes
FLT1		27	27	856	3.2%	Yes
PDGFRB		19	17	856	2.0%	Yes
RHEB		2	2	685	0.3%	Yes
IDH2		2	2	856	0.2%	Yes
NPM1		7	7	856	0.8%	Yes
PIK3R1		21	21	856	2.5%	Yes
SMAD2		2	2	856	0.2%	Yes
KDR		17	16	856	1.9%	Yes
SMAD4		12	11	856	1.3%	Yes
TMPRSS2		1	1	856	0.1%	Yes
SDHA		24	24	685	3.5%	Yes
PIK3CA		341	289	856	33.8%	Yes
PIM1		4	4	856	0.5%	Yes
NEGR1		5	5	685	0.7%	Yes
PTEN		67	61	856	7.1%	Yes
BUB1B		11	11	856	1.3%	Yes
REL		6	6	856	0.7%	Yes
SDHAF2		2	2	856	0.2%	Yes
MAP2K1		9	8	856	0.9%	Yes
TCF7L2		10	10	856	1.2%	Yes
NPRL2		4	4	685	0.6%	No
PTCH1		27	26	856	3.0%	Yes
WRN		28	28	856	3.3%	Yes
RPL26		1	1	856	0.1%	No
NF2		7	7	856	0.8%	Yes
NRAS		1	1	856	0.1%	Yes
TSC1		27	25	856	2.9%	Yes
CDK6		2	2	856	0.2%	Yes
CDK5		6	6	856	0.7%	No
SDHC		4	4	856	0.5%	Yes
SDHB		3	3	856	0.4%	Yes
SDHD		3	3	856	0.4%	Yes
CDK4		3	3	856	0.4%	Yes
CDK2		3	3	856	0.4%	No
CDC73		13	13	856	1.5%	Yes
STAG2		15	15	856	1.8%	Yes
CTNNB1		10	10	856	1.2%	Yes
SUFU		8	8	856	0.9%	Yes
NF1		54	54	856	6.3%	Yes
RET		29	29	856	3.4%	Yes
NFE2L2		5	5	856	0.6%	Yes
TERT		18	18	856	2.1%	Yes
PAX5		1	1	856	0.1%	Yes
MECOM		17	16	856	1.9%	Yes
CDKN2C		3	3	856	0.4%	Yes
ETV6		6	6	856	0.7%	Yes
KDM6B		27	27	856	3.2%	No
CDKN2B		3	3	856	0.4%	Yes
PRKN		7	7	856	0.8%	Yes
WT1		11	9	856	1.1%	Yes
ETV5		15	15	856	1.8%	Yes
CDKN2A		11	10	856	1.2%	Yes
ETV4		10	10	856	1.2%	Yes
CDKN1C		5	5	856	0.6%	No
CDKN1B		15	15	856	1.8%	Yes
CDKN1A		4	4	856	0.5%	Yes
ETV1		8	8	856	0.9%	Yes
CDK9		4	3	856	0.4%	No
CREBBP		37	34	856	4.0%	Yes
CRTC1		9	9	856	1.1%	Yes
MTOR		32	31	856	3.6%	Yes
CD58		2	2	856	0.2%	Yes
TNFAIP3		14	12	856	1.4%	Yes
TSC2		42	40	856	4.7%	Yes
BCL6		9	9	856	1.1%	Yes
PTK2		15	15	856	1.8%	No
SRC		6	5	856	0.6%	Yes
ZRSR2		6	6	856	0.7%	Yes
