x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8
10012,5,,,,,,
ID_REF,Description,,parental,parentalAM,parentalAMB,BrM2a,Brm2a
AFFX-BioB-5_at,na,'DDR1',141.566,210.601,234.569,201.821,206.286
AFFX-BioB-M_at,na,'RFC2',270.06,392.976,327.778,314.961,234.62
AFFX-BioB-3_at,na,'PAX8',130.063,264.914,164.554,133.724,143.236
AFFX-BioC-5_at,na,'UBA7',496.829,738.579,676.102,544.096,515.009
AFFX-BioC-3_at,na,'THRA',382.79,356.281,365.895,473.619,412.975
AFFX-BioDn-5_at,na,'ESRRA',669.793,566.281,442.206,793.016,671.804
AFFX-BioDn-3_at,na,'GAS6',2729.26,3911.78,3703.68,2851.85,3050
AFFX-CreX-5_at,na,'MMP14',5924.91,6433.29,5979.99,6703.19,5989.89
AFFX-CreX-3_at,na,'TRADD',9507.69,11917.8,9376.73,10224.6,9582.7
AFFX-HUMISGF3A/M97935_5_at,na,'PLD1',167.555,82.7382,120.731,163.275,123.634
AFFX-HUMISGF3A/M97935_MA_at,na,'BAD',498.667,397.633,416.707,418.909,346.877
AFFX-HUMISGF3A/M97935_MB_at,na,'PRPF8',233.328,206.234,303.033,220.027,224.919
AFFX-HUMISGF3A/M97935_3_at,na,'CAPNS1',887.389,663.759,723.871,772.058,640.599
AFFX-HUMGAPDH/M33197_5_at,na,'RPL35',19563.7,19508,19267.1,20818.7,20855.6
AFFX-HUMGAPDH/M33197_M_at,na,'RPL28',18608.7,18996.6,20610.4,21153,18545.6
AFFX-HUMGAPDH/M33197_3_at,na,'EIF4G2',17343.4,18016.4,17463.8,19418.7,17791.3
AFFX-HSAC07/X00351_5_at,na,'EIF3D',19354.5,23294.6,21783.7,19567.2,18746.2
AFFX-HSAC07/X00351_M_at,na,'PARK7',21849.6,25373.1,24922.8,22502.3,21410.5
AFFX-HSAC07/X00351_3_at,na,'SRP14',16410.7,20032.8,20251.1,16663.4,17332.5
AFFX-M27830_5_at,na,'GDI2',248.147,731.485,614.916,346.046,355.077
AFFX-hum_alu_at,na,'GDI2',16793.1,19621,20396.3,16555.1,17534
AFFX-r2-Ec-bioB-5_at,na,'RPL11',180.516,243.154,193.558,164.945,236.218
AFFX-r2-Ec-bioB-M_at,na,'ARF3',271.327,482.63,448.132,230.359,250.293
AFFX-r2-Ec-bioB-3_at,na,'RPL21 /// RPL21P119 /// RPL21P28',213.48,254.304,231.834,188.426,205.031
AFFX-r2-Ec-bioC-5_at,na,'RPL24 /// RPL24P4',595.471,645.13,595.898,634.664,562.05
AFFX-r2-Ec-bioC-3_at,na,'HNRNPC',665.712,848.507,874.329,754.78,667.978
AFFX-r2-Ec-bioD-5_at,na,'2-Sep',2705.48,2599.81,2252.42,2889.44,2174.07
AFFX-r2-Ec-bioD-3_at,na,'HNRNPA1',2804.78,2866.72,2618.01,3162.22,3171.15
AFFX-r2-P1-cre-5_at,na,'RPS27A',9460.56,12667.2,12782.6,9944.56,8229.44
AFFX-r2-P1-cre-3_at,na,'RPS13',14266.1,16690.5,17395.8,14733.2,13400.9
AFFX-r2-Bs-thr-5_s_at,na,'FAU',62.0304,96.4319,102.206,54.6715,77.11
AFFX-r2-Hs28SrRNA-3_at,na,'TARDBP',392.365,651.136,438.07,415.214,425.654
200000_s_at,na,'CFL1',2410.68,2698.94,2701.35,2118.36,2353.25
200001_at,na,'RPL18',5377.87,7695.8,6613.73,8381.6,6847.53
200002_at,na,'EIF3F',12838.5,14678.9,14211.2,9487.22,12961.3
200003_s_at,na,'RPS5',13962.4,12596.6,12638.7,12483.5,13885.8
200004_at,na,'RPL27',7494.09,6921.27,7009.12,7910.79,8388.93
200005_at,na,'RPL34',4483.79,3970.27,3676.82,4021.18,5089.96
200006_at,na,'NARS',6955.24,5668.67,6990,8177.47,6510.35
200007_at,na,'STARD7',5183.68,5466.42,5368.03,5358.74,5686.37
200008_s_at,na,'RPL19',4954.74,3486.43,3463.08,4952.18,5213.25
200009_at,na,'SLC25A3',7088.56,6375.96,6046.17,7338.72,7740.18
200010_at,na,'RPS11',8155.88,7049.09,8599.89,8154.85,7063.8
200011_s_at,na,'RPL9 /// RPL9P7',1942.8,1974.81,2032.77,1523.8,1930.28
200012_x_at,na,'DDX5',13373.5,12603,10529.8,10459,9782.78
200013_at,na,'RPL6 /// RPL6P27',11465.7,11760,12193.6,11907.8,12134.3
200014_s_at,na,'CTDNEP1',2979.02,3027.35,3039.33,3295.89,2790.93
200015_s_at,na,'RPL10A',3429.08,3506.26,3077.37,3491.56,2874.42
200016_x_at,na,'CBX3',11091.9,11676.9,12482.5,10407.8,10764.5
200017_at,na,'C18orf32 /// RPL17 /// RPL17-C18orf32',10607.3,10892.5,11641,12144.8,11628.3
200018_at,na,'PSMB2',13249.6,13280.7,14560.6,14600.8,14909.6
200019_s_at,na,'KHDRBS1',12835.8,12991.2,14190.6,12580.8,15525.4
200020_at,na,'ATP6V1G2-DDX39B /// DDX39B',2953.8,2725.08,2580.93,2901.59,2968.01
200021_at,na,'RTCB',15986.2,19554.4,18966,18015.6,18891.3
200022_at,na,'ERH',12426.3,13014.4,14211.7,10309,12244.9
200023_s_at,na,'SRSF9',6713.46,5866.87,5762.89,7413.52,6917.9
200024_at,na,'ABCF1',12436.2,11106.8,9545.63,9646.64,11130.8
200025_s_at,na,'DAD1',13366.2,14197.3,13379.4,12690.7,12136.7
200026_at,na,'YY1',8410.99,10156.6,9798.97,10183.9,11358.2
200027_at,na,'JTB',4518.43,3612.77,4056.3,4763.51,3301
200028_s_at,na,'KAT7',4495.7,3467.67,3517.08,3428.88,3443.25
200029_at,na,'ZNF146',13171.6,12871.1,11582.9,13641.9,13860.6
200030_s_at,na,'SART1',12698.5,13234.3,11382.3,12874.7,14422.2
200031_s_at,na,'ILF2',15781.8,15402.5,16695.6,13465.2,17125.3
200032_s_at,na,'SPAG7',14105.3,14245.2,13919.2,12209.7,15618.4
200033_at,na,'ZPR1',4844.13,5296.19,4920.17,5023.26,6061.32
200034_s_at,na,'TAF10',9659.45,8626.59,10406.9,10197.3,11637.8
200035_at,na,'C1D',1004.72,1582.69,1147.99,1017.81,995.005
200036_s_at,na,'NONO',10790.4,8994.94,8723.49,11373.9,10858.5
200037_s_at,na,'SNRNP200',3356.72,3356.1,3066.12,3496.03,3735.86
200038_s_at,na,'RHOA',10986.7,12274.9,10982.7,11170,11753
200039_s_at,na,'RNPS1',4548.36,4488.13,4479.32,5498.3,4207.46
200040_at,na,'RPS24',2904.19,2534.05,2564.13,2645.37,2535.15
200041_s_at,na,'RPL30',5586.81,6064.23,6112.82,4378.42,4541.41
200042_at,na,'NPM1',1594.22,1450.69,1761.93,2129.2,2548.62
200043_at,na,'HSP90AB1',6796.16,7586.81,7444.11,6263.86,6985.49
200044_at,na,'ARF1',3049.16,3252.05,3142.93,4579.6,4555.44
200045_at,na,'IK',3835.98,3711.47,3611.39,3327.78,4119.01
200046_at,na,'SNX3',3419.23,3956.83,3943.92,3684.2,3397.1
200047_s_at,na,'CANX',2422.51,2204.99,2081.79,2486.49,2251.08
200048_s_at,na,'SART3',5059.27,5240.49,4818.01,3615.35,2752.19
200049_at,na,'CNPPD1',551.059,666.869,568.72,619.56,714.561
200050_at,na,'SMNDC1',1294.75,1068.5,1243.57,1102.6,1026.93
200051_at,na,'HNRNPM',487.607,550.071,565.93,362.559,529.569
200052_s_at,na,'HNRNPD',2868.25,2528.65,2572.77,3106.08,2577.19
200053_at,na,'RPL14 /// RPL14P1',1009.02,1324.52,1249.62,1487.13,1309.15
200054_at,na,'GUK1',931.112,674.452,560.886,973.29,1094.59
200055_at,na,'KXD1',2229.45,3031.35,3044.59,2852.99,2008.22
200056_s_at,na,'OAZ1',416.842,342.83,409.631,478.471,642.017
200057_s_at,na,'ATP6V0B',6628.53,5918.25,7512.47,7820.29,7854.81
200058_s_at,na,'KARS',2560.51,2484.61,2651.94,2398.77,2302.97
200059_s_at,na,'H3F3A /// H3F3AP4',8409.56,7759.83,8443.93,8075.93,8187.86
200060_s_at,na,'RPS6',3111.48,2505.34,2880.64,2859.16,3473.84
200061_s_at,na,'RPS7',14376.9,17512.8,16281.9,13951.2,14800
200062_s_at,na,'USP22',17207.3,18893,18394.4,16904.6,19219.9
200063_s_at,na,'C11orf58',10736.9,10444.4,11032.4,11127,12721.5
200064_at,na,'TCEB2',16065.3,15870.7,15678.2,17312.1,17033.1
200065_s_at,na,'COX4I1',7609.81,7436.43,7306.11,7979.65,7881.09
200066_at,na,'TMED2',1085.98,983.708,1164.78,1189.08,1424.21
200067_x_at,na,'NBEAL1 /// RPL12 /// RPL12P4',2363.75,2427.1,2487.81,1846.4,2359.49
200068_s_at,na,'RPL4',9407.66,8660.25,10250.1,9343.16,9371.65
200069_at,na,'FNTA',685.967,511.923,673.567,570.806,389.157
200070_at,na,'RPS25',452.253,383.405,344.539,533.54,429.452
200071_at,na,'RPL37',1002.27,1176.04,1255.78,1198.88,1161.3
200072_s_at,na,'HINT1',4065.42,3956.2,4565.63,4438.21,4243.38
200073_s_at,na,'EEF2',3061.15,2465.09,2837.19,2574.61,2380
200074_s_at,na,'RPS10 /// RPS10-NUDT3 /// RPS10P19',7736.33,6937.41,6907.89,8728.74,9004.37
200075_s_at,na,'ATP6V0E1',2053.57,1855.66,1628.2,1912,1726.43
200076_s_at,na,'HNRNPK',1327.16,1172.36,1095.26,2587.26,1714.02
200077_s_at,na,'ANAPC5',9017.66,9458.59,9048.74,8132.85,8221.06
200078_s_at,na,'RPS3A /// RPS3AP26 /// RPS3AP5',2642.42,2893.72,3166.79,3108.96,3644.5
200079_s_at,na,'HNRNPU',3879.73,3352.47,2916.24,3922.01,4423
200080_s_at,na,'HNRNPU',4569.42,4323.35,6436.48,4396.54,3820.33
200081_s_at,na,'EIF3A',12351,12735.6,11530.9,12515.4,13882.9
200082_s_at,na,'EIF3A',9875.23,9764.85,10588.4,10839,12159.3
200083_at,na,'EIF3A',2450.09,2420.15,2796.63,2396.59,2240.27
200084_at,na,'HSP90B1',3344.85,3683.53,3559.9,4366.31,4518.63
200085_s_at,na,'HSP90B1',5283,6416.38,6016.18,4265.03,3991.52
