Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,SAMPLE_NAME,MSKC_00533,MSKC_00534,MSKC_00535,MSKC_00536,MSKC_00537,MSKC_00538,MSKC_00539,MSKC_00540,MSKC_00541,MSKC_00542,MSKC_00543,MSKC_00544,MSKC_00545,MSKC_00546,MSKC_00547
,"",,"",,,,,,,,,,SAMPLE_ID,6212985,6212986,6212987,6212988,6212989,6212990,6212991,6212992,6212993,6212994,6212995,6212996,6212997,6212998,6212999
,"",,"",,,,,,,,,,CLIENT_IDENTIFIER,231P1,231P2,231P3,231P4,231P5,231B1,231B2,231B3,231B4,231B5,231L1,231L2,231L3,231L4,231L5
,"",,"",,,,,,,,,,CELL_COUNT_X10E6,12.5,9.8,15.1,14.5,17.4,10.2,10.3,7.9,8.6,8.2,6.2,6.9,5.6,6.3,8.8
,"",,"",,,,,,,,,,GROUP_DESCRIPTION,breast parental,breast parental,breast parental,breast parental,breast parental,breast brain mets,breast brain mets,breast brain mets,breast brain mets,breast brain mets,breast lung mets,breast lung mets,breast lung mets,breast lung mets,breast lung mets
,"",,"",,,,,,,,,,GROUP_ID,P,P,P,P,P,BrainM,BrainM,BrainM,BrainM,BrainM,LungM,LungM,LungM,LungM,LungM
,"",,"",,,,,,,,,,GROUP_NUMBER,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3
,"",,"",,,,,,,,,,BRADFORD_MG_ML,15.375,15.67,14.565,15.29,15.169,12.552,12.871,11.754,11.114,12.887,14.036,14.635,15.377,13.425,17.567
,"",,"",,,,,,,,,,SAMPLE_NUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PATHWAY_SORTORDER,"BIOCHEMICAL",SUPER_PATHWAY,"SUB_PATHWAY",COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,Group   HMDB_ID,P,P,P,P,P,BrainM,BrainM,BrainM,BrainM,BrainM,LungM,LungM,LungM,LungM,LungM
1485,"(14 or 15)-methylpalmitate (a17:0 or i17:0)",Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.2487,,17903417,,,,1.3979,0.7145,0.5323,0.7413,0.9559,1,1.1249,1.4848,1.0995,1.0411,0.9754,1.3991,0.6013,0.8143,1.2484
1489,"(16 or 17)-methylstearate (a19:0 or i19:0)",Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,2340933,,HMDB37397,2.2318,1,0.8811,0.8539,1.127,0.9629,0.9008,1.219,0.9639,1.0369,1.0268,1.3914,0.5724,0.7571,1.0933
