x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
AFFX-BioB-5_at,'DDR1',na,210.6,234.6,362.5,389,305.6,330.5
AFFX-BioB-M_at,'RFC2',na,393,327.8,501.4,816.5,542,440.8
AFFX-BioB-3_at,'PAX8',na,264.9,164.6,244.7,379.7,261.3,303.7
AFFX-BioC-5_at,'THRA',na,738.6,676.1,737.6,1191.2,917,767.9
AFFX-BioC-3_at,'ESRRA',na,356.3,365.9,423.4,711.6,560.3,484.9
AFFX-BioDn-5_at,'GAS6',na,566.3,442.2,649.7,834.3,599.1,606.9
AFFX-BioDn-3_at,'MMP14',na,3911.8,3703.7,4680.9,6037.7,4653.7,4232
AFFX-CreX-5_at,'TRADD',na,6433.3,5980,7734.7,10591,8162.1,8428
AFFX-CreX-3_at,'BAD',na,11917.8,9376.7,11509.3,16814.4,13861.8,13653.4
AFFX-HUMISGF3A/M97935_5_at,'PRPF8',na,82.7,120.7,92.7,46.4,55.9,46.5
AFFX-HUMISGF3A/M97935_MB_at,'CAPNS1',na,206.2,303,300.8,253.5,195.3,216
AFFX-HUMISGF3A/M97935_3_at,'RPL35',na,663.8,723.9,812.1,666.1,629.4,754.1
AFFX-HUMRGE/M10098_5_at,'RPL28',na,547.6,405.9,6894.7,3496.1,1958.5,5799.4
AFFX-HUMRGE/M10098_M_at,'EIF4G2',na,239.1,175.8,3675,1348.6,695.9,2428.2
AFFX-HUMRGE/M10098_3_at,'EIF3D',na,1236.4,721.4,9076.1,7795.9,4237.1,7890
AFFX-HUMGAPDH/M33197_5_at,'PARK7',na,19508,19267.1,22892,26584,29666.6,25038.1
AFFX-HUMGAPDH/M33197_M_at,'SRP14',na,18996.6,20610.4,21573.7,29936,30106.6,22380.2
AFFX-HUMGAPDH/M33197_3_at,'GDI2',na,18016.4,17463.8,20921.3,26908.3,28382.2,21885
AFFX-HSAC07/X00351_5_at,'GDI2',na,23294.6,21783.7,18423.3,21858.9,23517.1,19450.3
AFFX-HSAC07/X00351_M_at,'RPL11',na,25373.1,24922.8,22384.2,25760.2,27718.5,21401.6
AFFX-HSAC07/X00351_3_at,'ARF3',na,20032.8,20251.1,20961.7,23494.6,23381.2,21173.3
AFFX-M27830_5_at,'RPL21 /// RPL21P119 /// RPL21P28',na,731.5,614.9,7824.9,1992.1,1480.5,5937.8
AFFX-hum_alu_at,'RPL24 /// RPL24P4',na,19621,20396.3,19844.2,24283.1,25676.5,20397.4
AFFX-r2-Ec-bioB-5_at,'HNRNPC',na,243.2,193.6,253.7,462.1,326.4,318.8
AFFX-r2-Ec-bioB-M_at,'2-Sep',na,482.6,448.1,594.3,819.5,676.9,596.2
AFFX-r2-Ec-bioB-3_at,'HNRNPA1',na,254.3,231.8,345.3,519.5,399.6,330.5
AFFX-r2-Ec-bioC-5_at,'RPS27A',na,645.1,595.9,753.7,1115.7,776.7,740
AFFX-r2-Ec-bioC-3_at,'RPS13',na,848.5,874.3,974,1336.2,1035.8,959.7
AFFX-r2-Ec-bioD-5_at,'FAU',na,2599.8,2252.4,2735.6,4011.8,2877.3,2730
AFFX-r2-Ec-bioD-3_at,'TARDBP',na,2866.7,2618,3150.6,4917.6,3857.5,3588.1
AFFX-r2-P1-cre-5_at,'CFL1',na,12667.2,12782.6,14740.1,19846.3,16928.7,14437.9
AFFX-r2-P1-cre-3_at,'RPL18',na,16690.5,17395.8,21243.5,25469.7,21833,19222.1
AFFX-r2-Hs18SrRNA-3_s_at,'EIF3F',na,1044.6,719.2,10360.7,8882.5,4229.4,10168.5
AFFX-r2-Hs18SrRNA-M_x_at,'RPS5',na,269,250.1,4548.6,1518.8,705.8,2899.3
AFFX-r2-Hs18SrRNA-5_at,'RPL27',na,831.6,570.8,7851.3,3963.4,2585.9,6886
AFFX-r2-Hs28SrRNA-3_at,'RPL34',na,651.1,438.1,4422.5,960.9,978.6,2685.2
200000_s_at,'NARS',na,2698.9,2701.3,1950.7,2491.8,2198.9,2182.9
200001_at,'STARD7',na,7695.8,6613.7,6303.7,7525.3,6564,6026
200002_at,'RPL19',na,14678.9,14211.2,14274,19098.8,20025.4,14405.9
200003_s_at,'SLC25A3',na,12596.6,12638.7,14242.2,15085.5,15284.6,14589.9
200004_at,'RPS11',na,6921.3,7009.1,8999.6,9749.9,9277.3,9524.8
200005_at,'RPL9 /// RPL9P7',na,3970.3,3676.8,3739.5,4199.8,4580.6,4485.9
200006_at,'DDX5',na,5668.7,6990,7869.9,10307.1,8835.4,9624.1
200007_at,'RPL6 /// RPL6P27',na,5466.4,5368,6836.3,6511.8,6194.7,6523.7
200008_s_at,'CTDNEP1',na,3486.4,3463.1,3440.8,3248.5,3771.6,3636.2
200009_at,'RPL10A',na,6376,6046.2,6110.3,7077.3,7479.8,6759.1
200010_at,'CBX3',na,7049.1,8599.9,9005.3,10723.1,9810.1,11043.8
200011_s_at,'C18orf32 /// RPL17 /// RPL17-C18orf32',na,1974.8,2032.8,1928.8,1830.6,1932.7,1824.1
200012_x_at,'PSMB2',na,12603,10529.8,10120.3,15197.4,13708.3,12065.6
200013_at,'KHDRBS1',na,11760,12193.6,13798.6,16020.6,15651.5,18009.6
200014_s_at,'ATP6V1G2-DDX39B /// DDX39B',na,3027.4,3039.3,3435.4,3842.4,3959.8,3774.4
200015_s_at,'RTCB',na,3506.3,3077.4,3540.3,3859.9,3492.5,3608.8
200016_x_at,'ERH',na,11676.9,12482.5,14783.4,14912.2,15202,15227.5
200017_at,'SRSF9',na,10892.5,11641,10098.1,10144,9526,10727.2
200018_at,'ABCF1',na,13280.7,14560.6,14254.3,17077.1,17871.8,15079.2
200019_s_at,'DAD1',na,12991.2,14190.6,12924.8,12764.3,13177.1,12817.3
200020_at,'YY1',na,2725.1,2580.9,2771.1,3179.2,3114.1,3323.5
