Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
49.836,50.1906,51.2647,53.3298,69.9725,38.3034,31.8307,56.06,169.9588,173.1314,218.3738,268.9959,152.3519,261.2893,182.576,181.5352,252.0969,303.0986,315.7462,322.2941,301.5896,312.3236,307.6541,341.8894
54.0557,56.4737,59.9339,56.9243,70.937,41.889,45.4901,64.2975,183.9538,182.6891,228.2387,274.2112,165.5452,256.5722,188.4199,198.5061,255.2694,307.4911,322.5775,324.3427,310.1234,315.8555,318.4703,346.4706
45.1029,47.7185,49.7482,47.3337,61.832,30.1239,31.9012,46.0357,170.1397,169.6603,216.6036,265.0239,155.3492,242.1797,174.2725,181.5598,249.9498,303.484,318.3553,318.9373,306.7894,308.9648,311.9272,339.8291
6.5693,10.2605,9.6017,9.6783,9.3759,7.2307,6.9756,11.8421,99.635,104.4233,118.9244,146.7935,94.856,128.0134,109.6985,104.7145,180.8396,218.5447,236.9904,230.7109,226.759,199.4165,227.2084,239.9196
5.4125,8.7864,9.0397,8.6169,8.696,5.4122,7.2107,10.7531,99.2101,104.4629,120.656,147.1531,95.1612,131.3984,110.9459,103.7867,187.0178,223.7395,242.1993,234.8647,232.2303,207.7281,230.6651,242.3171
5.2448,6.8161,8.3727,8.7372,8.0296,5.3625,6.2794,8.6752,98.5365,104.0026,119.7352,147.65,95.1629,132.6328,109.6842,100.8055,193.1118,226.2382,244.5939,236.5222,234.0747,212.7671,229.9916,243.8694
2.5798,5.5726,5.7224,5.8663,7.0578,3.363,2.7181,7.508,56.0671,73.0358,79.9,91.244,67.5398,87.1554,75.5602,66.4469,112.3721,133.9337,148.6518,140.0471,142.1081,146.5041,135.2646,146.2224
3.7648,5.9635,6.3706,5.688,5.7719,4.7293,4.4675,8.4162,48.7805,64.0288,70.8366,82.4261,60.8037,78.9747,66.7194,59.9872,100.885,120.7315,134.0915,126.7059,128.4694,132.3739,122.5755,132.3971
3.8148,5.6337,6.2483,6.1681,6.7978,4.2087,3.0665,10.344,46.2067,59.4,66.4496,77.94,57.515,73.7097,62.628,57.4625,97.3411,116.9259,129.8548,123.1557,125.21,129.1567,118.5871,128.0449
3.2357,4.4218,5.8613,5.338,5.4568,3.6384,3.4537,3.9585,43.9242,57.3081,62.1796,75.7436,56.2811,71.3346,59.4486,53.6205,95.3825,114.1139,126.5712,119.8812,123.0257,125.9292,115.5967,124.8423
3.1833,4.6136,5.4913,5.7598,4.9331,2.7884,3.5096,8.52,43.6889,55.348,60.6261,74.6563,54.1695,68.8453,57.4245,52.9232,95.5344,113.8009,125.2248,119.6211,122.5106,126.1226,115.2641,123.82
