Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
164.9075,198.5534,204.7081,217.9291,240.0475,133.6949,152.7289,273.2122,478.7135,456.8936,559.4684,773.536,469.0281,708.9137,621.9266,636.3673,725.9139,802.9924,779.4641,793.7277,772.9319,757.3,847.633,932.5949
159.9154,189.5716,190.74,203.4647,231.5337,122.8631,141.1709,247.3201,454.9406,432.0082,521.1468,746.6502,455.9945,654.4306,578.0406,609.7231,692.6125,769.946,747.4811,780.261,751.2138,718.4083,804.7821,919.6949
157.1209,184.6459,184.8348,197.5615,231.456,118.4299,134.9899,238.8511,441.1535,423.1923,504.7247,721.5899,438.4889,639.3836,569.8539,581.5468,678.5754,751.2412,717.0577,760.6137,733.5307,698.1411,801.8689,897.7268
241.813,294.6751,287.4889,299.4966,387.6221,161.6608,192.2629,352.442,564.353,516.3052,650.5105,1006.751,533.7388,871.1164,735.0271,739.7382,877.8879,979.1007,945.6968,1028.9258,994.7562,967.5399,1090.6308,1176.9222
245.8331,302.3804,300.1727,311.1933,397.0841,167.3467,202.4042,366.5113,623.2607,563.1653,736.1783,1052.2786,588.1269,962.8654,788.6041,837.9327,861.0956,940.6236,914.4926,977.9559,943.9833,928.9416,1025.1913,1119.9263
251.784,310.4773,300.2271,314.0387,402.8986,169.7555,201.6943,372.2593,635.7896,579.1102,754.2018,1052.0514,607.3582,979.6993,802.9585,874.5598,873.007,920.4306,888.8401,948.1567,918.2599,906.4629,981.2999,1133.0261
84.8872,104.7837,96.2818,106.1454,131.464,78.13,90.116,165.3833,182.2997,230.1502,243.4737,326.1011,215.6815,283.2949,312.0961,281.3166,389.8714,414.4176,423.0505,426.5666,450.9083,425.606,462.1185,522.7418
58.3928,73.0338,69.3597,74.1677,77.1235,57.9063,65.1071,116.0524,156.5439,177.1417,195.4524,245.7761,179.2493,236.212,234.7311,248.0665,271.7786,280.4282,296.8599,282.3931,304.7751,295.3983,311.1173,363.3616
54.5465,68.1032,67.6316,70.711,71.8265,54.7484,63.8028,112.1617,151.3775,164.4789,186.502,230.4813,173.2952,225.7767,210.7617,237.9194,254.9483,260.8995,275.8073,263.1674,283.632,277.8211,291.4816,330.8406
53.8423,65.8087,66.6179,66.5895,67.4402,55.9909,62.891,103.275,157.1538,163.1075,184.0152,231.7056,173.8751,225.6214,207.2971,232.9789,251.29,256.9168,271.1886,262.0113,280.2033,271.7046,289.0724,322.4832
51.3999,63.6696,65.0609,64.537,67.7164,53.7121,59.8658,108.9792,159.5675,163.6641,182.2285,231.5899,172.321,225.8165,202.5504,229.3841,251.1676,258.3859,268.4072,265.7308,278.111,272.4387,287.3731,319.71
