UnassignedWell,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84
Unselected Well,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
OCR Data,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
ECAR Data,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
PER Data,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
OCR (pmol/min):,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
Time,Group Name: Glycolytic Rate Assay-parental yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-parental mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 mcherry,,,,,,,,NaN,Group Name: no drug-parental yfp,,,,NaN,Group Name: no drug-brm2 yfp,,,,NaN,Group Name: no drug-parental mcherry,,,,NaN,Group Name: no drug-lm2 yfp,,,,NaN,Group Name: no drug-brm2 mcherry,,,,NaN,Group Name: no drug-lm2 mcherry,,,
,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
1.3062,49.836,50.1906,51.2647,53.3298,69.9725,38.3034,31.8307,56.06,NaN,169.9588,173.1314,218.3738,268.9959,152.3519,261.2893,182.576,181.5352,NaN,252.0969,303.0986,315.7462,322.2941,301.5896,312.3236,307.6541,341.8894,NaN,48.2667,53.0095,45.544,59.7738,51.4447,92.8351,55.4892,41.3279,NaN,96.0267,119.4498,149.277,187.217,104.5689,127.5737,125.1115,102.0845,NaN,76.9283,60.4209,64.1157,71.3242,61.6298,74.3198,49.7464,32.8032,NaN,63.842,33.4549,48.8888,41.0011,NaN,226.3673,273.8867,247.9939,257.1981,NaN,67.1512,79.3707,69.2142,44.9252,NaN,302.2841,297.92,324.3919,331.466,NaN,132.1345,139.3746,121.4709,148.6399,NaN,81.493,66.5154,69.0519,75.0852
7.7696,54.0557,56.4737,59.9339,56.9243,70.937,41.889,45.4901,64.2975,NaN,183.9538,182.6891,228.2387,274.2112,165.5452,256.5722,188.4199,198.5061,NaN,255.2694,307.4911,322.5775,324.3427,310.1234,315.8555,318.4703,346.4706,NaN,56.2029,60.0584,54.1874,64.7353,58.2746,96.7106,60.7499,49.4154,NaN,103.5874,125.509,155.014,190.3863,110.8842,128.2873,129.0406,109.6586,NaN,84.4026,71.036,71.2356,74.293,70.0335,78.4692,62.0011,43.9706,NaN,68.275,39.2202,54.0016,44.9629,NaN,232.7107,278.7502,246.2019,264.6939,NaN,69.2176,69.2321,73.3811,52.4628,NaN,305.6892,294.9301,320.2561,332.5773,NaN,138.8394,145.5843,129.0718,155.1901,NaN,85.0045,69.7724,72.2926,80.7168
