# Pathway Id	Pathway Name	Raw Accumulator	Impact Factor	Probability Pi	Probability Network	Corrected Accumulator	pValue	Adjusted pValue
path:hsa04151	PI3K-Akt signaling pathway - Enriched	-350.72257074476096	8.688746902350971	7.295429260811516E-4	4.9975012493753125E-6	-666.6184501558782	3.8504722299492755E-8	9.626180574873189E-6
path:hsa04921	Oxytocin signaling pathway - Enriched	-554.7842400635863	7.319880745039823	0.00932821601080075	4.9975012493753125E-6	-845.2270199333288	8.471594798997728E-7	7.059662332498107E-5
path:hsa04810	Regulation of actin cytoskeleton - Enriched	-53.84837764560217	6.379247024761989	0.007657455350832386	4.9975012493753125E-6	-338.2633152839981	6.553839079215251E-7	7.059662332498107E-5
path:hsa04022	cGMP-PKG signaling pathway - Enriched	-493.57763322800025	6.104867738699827	0.020120616676497616	4.9975012493753125E-6	-729.9811410008964	2.3930423331819384E-6	9.97100972159141E-5
path:hsa04924	Renin secretion - Enriched	-449.3074395663904	8.082244668449132	0.015052245102603924	4.9975012493753125E-6	-608.998484894365	1.6042422990025784E-6	9.97100972159141E-5
path:hsa04744	Phototransduction - Enriched	-206.3246474004689	7.582664187079706	0.019426866816869857	4.9975012493753125E-6	-244.22945235589344	2.2788220899183642E-6	9.97100972159141E-5
path:hsa04723	Retrograde endocannabinoid signaling - Enriched	-489.7269296547979	5.713974678669394	0.029183144581192488	4.9975012493753125E-6	-686.4854312660075	4.0599478245972875E-6	1.4499813659276027E-4
path:hsa04925	Aldosterone synthesis and secretion - Enriched	-389.2586618239298	7.009947736060056	0.03267461553516858	4.9975012493753125E-6	-537.4470176538582	4.7867316989025355E-6	1.4958536559070423E-4
path:hsa04540	Gap junction - Enriched	-581.7741235238823	5.810351908686497	0.04132532122404771	4.9975012493753125E-6	-827.3387886125549	6.785797459940568E-6	1.696449364985142E-4
path:hsa04720	Long-term potentiation - Enriched	-302.35042100660297	5.897710363917517	0.03900023373706996	4.9975012493753125E-6	-453.1994670837171	6.220866705541894E-6	1.696449364985142E-4
path:hsa04510	Focal adhesion - Enriched	-88.35523113326194	4.546298850994661	0.04972213824893518	4.9975012493753125E-6	-366.161252214544	8.99475127835725E-6	2.0442616541721021E-4
path:hsa04713	Circadian entrainment - Enriched	-649.6451232293556	6.068831159792666	0.058320542883164864	4.9975012493753125E-6	-868.8946914546497	1.1531723550284312E-5	2.2176391442854445E-4
path:hsa04911	Insulin secretion - Enriched	-373.6039286206616	6.378485411782733	0.0572333789014364	4.9975012493753125E-6	-513.4544970949491	1.1195494153737329E-5	2.2176391442854445E-4
path:hsa04114	Oocyte meiosis - Enriched	-196.22319152171184	4.544133729383117	0.0634797795734936	4.9975012493753125E-6	-277.5237056023135	1.3188812959086249E-5	2.3551451712654017E-4
path:hsa04218	Cellular senescence - Enriched	-219.66900985579318	4.400655544111191	0.06977946041135422	4.9975012493753125E-6	-384.70060814162457	1.535110168537912E-5	2.558516947563187E-4
path:hsa01200	Carbon metabolism - Enriched	429.89240103789723	4.6505195238071835	0.07517664052231696	4.9975012493753125E-6	273.81509688579195	1.732668028986417E-5	2.5632505567595247E-4
path:hsa04978	Mineral absorption - Enriched	-118.09379157826797	5.022256259868282	0.07545082295916813	4.9975012493753125E-6	-151.77562633728422	1.7430103785964768E-5	2.5632505567595247E-4
path:hsa04970	Salivary secretion - Enriched	-386.30923837329334	6.243987526310798	0.08449095577970536	4.9975012493753125E-6	-514.7843392089351	2.1008180053239123E-5	2.9178027851721006E-4
path:hsa04714	Thermogenesis - Enriched	-124.7149977064157	4.8364429690930955	0.08808898957845784	4.9975012493753125E-6	-276.65273816233713	2.2524201785611986E-5	2.963710761264735E-4
path:hsa04024	cAMP signaling pathway - Enriched	-470.6768134652199	4.429129326465164	0.09991119823435775	4.9975012493753125E-6	-781.7144833777971	2.788351319371607E-5	3.4854391492145087E-4
path:hsa04728	Dopaminergic synapse - Enriched	-565.477051648586	4.726388562761407	0.10978702457926146	4.9975012493753125E-6	-793.2429257780444	3.28176152485371E-5	3.9068589581591786E-4
path:hsa00010	Glycolysis / Gluconeogenesis - Enriched	230.64009546027722	4.004792161743026	0.12805671288908899	4.9975012493753125E-6	143.78325809941515	4.309579789807394E-5	4.897249761144765E-4
path:hsa04724	Glutamatergic synapse - Enriched	-529.6135959536005	5.022280291990789	0.13900352610825956	4.9975012493753125E-6	-750.1299089290089	5.000569829871626E-5	5.186981940319413E-4
path:hsa00620	Pyruvate metabolism - Enriched	161.22986528304986	4.062947741584109	0.14180717177257707	4.9975012493753125E-6	109.37023898360687	5.186981940319413E-5	5.186981940319413E-4
path:hsa00970	Aminoacyl-tRNA biosynthesis - Enriched	168.0560695422506	7.02457504191117	0.0077026686663061875	9.995002498750624E-4	99.33851631202567	4.8426803763601534E-5	5.186981940319413E-4
path:hsa04152	AMPK signaling pathway - Enriched	-151.87858026377268	4.11993339433434	0.15539730952609504	4.9975012493753125E-6	-278.50736243050073	6.147154412405875E-5	5.910725396544111E-4
path:hsa04144	Endocytosis - Enriched	-59.76510847817926	3.0606182289908572	0.16061070267117541	4.9975012493753125E-6	-96.03347242756865	6.541125734571551E-5	6.056597902381065E-4
path:hsa04261	Adrenergic signaling in cardiomyocytes - Enriched	-509.55337027943665	4.073159128664414	0.17998442835499992	4.9975012493753125E-6	-728.8979495456113	8.136496249888658E-5	6.780413541573882E-4
path:hsa04919	Thyroid hormone signaling pathway - Enriched	-306.2657253215491	4.037864123391096	0.17844215155243232	4.9975012493753125E-6	-542.5418115653217	8.001664647316886E-5	6.780413541573882E-4
path:hsa04927	Cortisol synthesis and secretion - Enriched	-335.10090722353317	5.617657676825258	0.17589125038008552	4.9975012493753125E-6	-464.7374342429062	7.781692298347576E-5	6.780413541573882E-4
path:hsa04972	Pancreatic secretion - Enriched	-319.18286964021183	6.278469762437262	0.18882197346152346	4.9975012493753125E-6	-431.6015375327194	8.936286353866674E-5	7.206682543440866E-4
path:hsa04915	Estrogen signaling pathway - Enriched	-633.4797025150503	4.405580726526242	0.19283747549250363	4.9975012493753125E-6	-961.4763511056926	9.315296612411039E-5	7.277575478446124E-4
path:hsa04014	Ras signaling pathway - Enriched	-461.9207376500276	3.5052222653541123	0.20962203578422556	4.9975012493753125E-6	-807.9900523134067	1.1009776930981374E-4	7.335569528818744E-4
path:hsa04971	Gastric acid secretion - Enriched	-396.06141745291643	5.7688627614516355	0.21135859075470873	4.9975012493753125E-6	-566.1215186427917	1.1195585844836486E-4	7.335569528818744E-4
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption - Enriched	-305.4489428952267	4.978711341232828	0.20278788091238284	4.9975012493753125E-6	-438.56584040808985	1.0297924320168406E-4	7.335569528818744E-4
path:hsa04066	HIF-1 signaling pathway - Enriched	-257.3577700586167	3.543175570404303	0.20713023212490553	4.9975012493753125E-6	-423.17982959575113	1.0746668046901497E-4	7.335569528818744E-4
path:hsa04922	Glucagon signaling pathway - Enriched	-271.0203340031165	3.9261020206638	0.21364651874877136	4.9975012493753125E-6	-407.5747267229875	1.1443488464957241E-4	7.335569528818744E-4
path:hsa00190	Oxidative phosphorylation - Enriched	161.55613127752937	3.4162566545328437	0.20278788091238284	4.9975012493753125E-6	140.1155408380832	1.0297924320168406E-4	7.335569528818744E-4
path:hsa00020	Citrate cycle (TCA cycle) - Enriched	173.66425216896226	3.869588598670953	0.20278788091238284	4.9975012493753125E-6	127.9822783805601	1.0297924320168406E-4	7.335569528818744E-4
path:hsa04928	Parathyroid hormone synthesis, secretion and action - Enriched	-465.1652990329023	4.47832157707902	0.22295278879738062	4.9975012493753125E-6	-690.4949573992383	1.248887059672743E-4	7.805544122954644E-4
path:hsa04380	Osteoclast differentiation - Enriched	-184.2347494569567	3.4932404866134763	0.23575394544775619	4.9975012493753125E-6	-377.42342684127914	1.4027562867580112E-4	8.553391992426897E-4
path:hsa04916	Melanogenesis - Enriched	-473.4336705545788	4.0478918183573	0.24935362141139988	4.9975012493753125E-6	-670.5196777795977	1.5797105256920574E-4	9.403038843405103E-4
path:hsa00982	Drug metabolism - cytochrome P450 - Enriched	-37.47973734291506	5.227495366160468	0.0195265421009557	0.0014992503748125937	-70.77309522362202	1.869719986188345E-4	0.0010870465035978751
path:hsa04730	Long-term depression - Enriched	-533.9489021143246	4.992939537497062	0.284109009505293	4.9975012493753125E-6	-761.2440262913648	2.1013258932667256E-4	0.0011674032740370697
path:hsa04662	B cell receptor signaling pathway - Enriched	-256.2552934207655	3.8163457526099522	0.2812733050131651	4.9975012493753125E-6	-446.6889322617353	2.0547576595797423E-4	0.0011674032740370697
path:hsa04020	Calcium signaling pathway - Enriched	-350.04890060964254	3.0580662537717984	0.32643054565988666	4.9975012493753125E-6	-518.1868845648751	2.8920644724528266E-4	0.0015717741698113188
path:hsa04270	Vascular smooth muscle contraction - Enriched	-436.1904617209468	3.750720250017057	0.33193471870315205	4.9975012493753125E-6	-641.8442970376408	3.009219156893117E-4	0.0016006484877091047
path:hsa04666	Fc gamma R-mediated phagocytosis - Enriched	-196.4818539111834	3.5754118777693247	0.33690248155003144	4.9975012493753125E-6	-398.8671966890398	3.118037303382337E-4	0.0016239777621783007
path:hsa00140	Steroid hormone biosynthesis - Enriched	-53.15689039292262	2.7575149490244457	0.3633904697603436	4.9975012493753125E-6	-108.37405937530433	3.7507724679630705E-4	0.001913659422430138
path:hsa04962	Vasopressin-regulated water reabsorption - Enriched	-103.67004592599103	3.211608701169298	0.36790522609121323	4.9975012493753125E-6	-145.3636561095604	3.8679952637876713E-4	0.0019339976318938357
path:hsa00510	N-Glycan biosynthesis - Enriched	202.81970297381483	6.490728488505457	0.019272049980981646	0.004497751124437781	150.97100506979774	4.6624503627024083E-4	0.0022415626743761577
